Coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
@1,,,8.6644985,-47.982752,
@10,,,0.0,-0.031742,
@103,,,,4.9854615,
@107,14.373521537313433,495.65087032317325,45.982377657967035,85.77625654788069,28.32857077571826
@11,,0.0,,,
@113,,,,15.495707,
@13,,,0.0,-0.061895,
@14,,0.0,,0.0,
@142,,,6.981712166666667,6.9411371543624165,
@16,,,0.0,-0.0302145,
@20,,0.0,,0.23690439999999996,
@23,,,0.0,,
@26,,,0.0,-0.032252249999999996,
@29,,,0.0,-0.0195935,
@3,,0.0,,0.035578,
@33,,,,4.522309666666667,
@35,,,0.0,33.5140635,
@37,,,10.17704,,
@38,,0.0,0.0,33.271993,
@39,,,0.0,12.238556,
@4,23.178014714285716,-12.607399835443038,3.8766519574468083,1.1528842789473683,8.129954914893617
@40,,,0.0,16.748319,
@41,,0.0,0.0,18.36922,
@42,,,,0.0,
@44,,0.0,0.0,,
@45,,0.0,,,
@46,,0.0,,,
@47,,,0.0,16.771152666666666,
@48,,,,,0.0
@49,-10.178054249999999,,0.0,,
@51,,,0.0,-37.27303,0.0
@59,,,0.0,0.0,
@63,,,,-20.663546,
@74,,299.941989,0.0,12.703987,
@78,,,0.0,,
@8,0.0,0.0,5.5872414500000005,1.5165661764705882,0.0
@85,,,0.0,678.66879056,
AAVE,18.182371999999997,85.3615937254902,9.362390486486486,2.365056642857143,0.7811135714285715
ACE,,,,39.622400000000006,
ADA,0.0,83.74596844444444,38.6411216701031,0.212203,8.95989075
AI,4.986738666666667,,,1.6497771428571428,
AI16Z,17.22449568965517,,14.227716608695653,48.52401923913043,4.838948470588235
AIXBT,14.264576,,11.057061875,27.785579021276593,1.0917712222222222
ALGO,0.0,,,,
ALT,,,,17.745261538461538,
ANIME,,,,35.45163,
APE,0.0,46.058381777777775,3.112671111111111,10.105322397058824,151.9484656
APT,0.0,,134.82,,
AR,,21.628553333333333,,,
ARB,0.0,,6.306102017241379,-0.00017775,8.467388352941176
ARK,,,,6.53457,
ATOM,,0.0,0.388981625,0.064232,8.432756000000001
AVAX,0.0,0.20867033333333332,2.1558322857142858,0.0,4.994015
BADGER,2.2546093,,,,
BANANA,,-11.961329333333333,,,
BIGTIME,,,,54.05952379310345,
BIO,0.0,,4.513222,,
BLAST,0.0,33.99725425,7.198419095238095,,35.5535038
BLUR,0.0,,21.073916,-0.004164999999999999,
BNB,0.0,2.4046083333333335,-1.7873999999999999,0.18385966666666664,
BOME,0.0,,,,
